Mobile Number,Braodband Bills,Paid on Time
9295936038,2208,Yes
8509399532,1537,No
9326382215,2839,Yes
9067037402,2071,Yes
9425477213,774,No
8663875862,1757,Yes
7956433402,1697,Yes
8154245668,1273,Yes
8571197032,2077,No
9876861057,1852,Yes
9509935812,1584,No
9540904489,2398,No
8489356860,2928,No
9317978199,3109,Yes
9694786584,2516,No
8767893335,1059,Yes
8486294772,3341,No
8864825497,939,No
9133444429,3361,No
9648765908,1511,Yes
9626524365,3210,Yes
9540809217,2798,Yes
9473172027,1862,Yes
8653463842,1650,No
8735431228,2322,No
8945890478,2558,No
8227982295,1570,No
8489445353,2994,Yes
9339868245,1735,Yes
8354896279,3253,Yes
8173474259,3217,Yes
9174527473,3387,No
8728777066,2562,Yes
8354063407,3422,No
8918120953,1183,No
9875925021,1775,No
8161556403,3111,Yes
9823766103,2779,Yes
9481209726,988,Yes
9069909722,2120,Yes
8883254184,2584,Yes
9805800687,1459,Yes
8146419733,1716,No
9250949567,2073,Yes
9110066275,2374,No
9787527093,2967,No
9569504202,2029,Yes
8909416281,2302,No
9073963220,3190,No
8599037414,2257,Yes
8459065365,2445,No
9773047782,3175,Yes
8043404063,3339,No
9596390652,1402,No
7938263186,1248,No
8814837169,1170,Yes
9398962943,2515,
8492287953,1236,Yes
9737009175,3102,No
8393314559,2975,No
9718276680,1014,No
9032229224,2427,Yes
7972494262,2946,Yes
9111415256,1067,No
8370220579,1789,No
8222594372,3029,No
8921787088,2204,Yes
9064121209,3232,No
8912211613,1145,Yes
8897337222,1100,No
9057167917,1355,No
9758921712,2407,No
8556015061,1959,No
9787617620,2811,Yes
8237531668,1568,No
9106415207,2975,No
9423174914,1226,Yes
8377817039,2375,Yes
9504917180,2163,Yes
8947673014,3412,No
9092523683,1159,No
8263027426,3213,Yes
8379988189,3014,Yes
7917057747,1731,No
9078993202,2922,No
7929748831,1634,Yes
8059354442,1574,Yes
8354269268,881,No
8545159042,3172,Yes
8833643939,2796,Yes
7941414897,879,No
7949092576,1332,Yes
8655942048,2964,Yes
7926134002,850,Yes
7974688386,1957,No
9800929344,2538,No
8908620149,981,No
8434405540,2392,Yes
9730467318,1149,Yes
8802532585,2471,Yes
9675941619,2916,No
8568809189,1779,No
9110360314,3136,No
8390567346,1298,Yes
9119267239,1197,Yes
8993454800,3383,Yes
8386762047,3300,No
9407243175,1503,No
8801905448,2371,No
9339145630,3042,Yes
9563033638,2222,Yes
8664608134,1489,No
9438959282,1493,No
7898912701,1432,No
9435801001,2302,Yes
9372649144,1700,No
9097757228,771,Yes
9343056542,1168,Yes
8851321471,1273,No
8886833102,2175,No
8360617831,2917,Yes
8434943693,942,No
9278461130,1827,No
9525797696,2324,Yes
9198909675,1025,Yes
8366164058,2170,No
8891168194,2105,Yes
8636283198,2720,Yes
9763702352,1425,Yes
8423379040,3408,Yes
8347267996,1835,No
8301032440,2299,No
8660261090,3373,Yes
9238886170,2434,Yes
9476634401,2914,Yes
9113483620,1512,No
9373548422,2377,No
9057475405,1204,Yes
9709609748,2503,No
8463616011,3139,No
8210539330,3348,No
9240587315,759,No
9468889972,2820,Yes
9028150661,1066,No
8903840210,3401,No
9036451286,2202,No
8723673238,2325,No
9309091194,3401,Yes
8031292664,2802,No
8949881341,2501,Yes
8072570084,3261,No
9831289862,814,Yes
9184582517,1414,No
8246562660,1245,Yes
8031466011,2505,Yes
8234724733,2479,No
9450587842,1098,Yes
9696194288,2472,Yes
9736277660,2753,Yes
8319027205,2717,Yes
9210460331,3037,No
7954622735,2226,No
9460823712,1769,Yes
9420739820,998,No
9465774996,3403,Yes
9394981980,888,Yes
8032749082,1868,No
9250709486,3093,No
8007633473,3395,No
9094835112,2816,No
8285150568,2146,Yes
8307716703,769,No
8994886710,831,No
8797049912,2073,Yes
8532321385,2909,No
9043930785,1847,No
8188641583,2813,No
8430546228,2980,No
9469939140,1272,Yes
8415364771,2601,No
9328663734,3134,Yes
8012217253,2898,Yes
9494382989,2911,Yes
7987981317,871,No
8672147415,3204,No
9566592282,2172,Yes
9080402786,3248,Yes
9347209511,1190,No
8589055077,3222,Yes
8687518242,2589,Yes
8219018988,2079,No
8046986394,2451,Yes
8146129796,3174,Yes
8375134197,1219,No
7957464091,3424,Yes
8764838424,2702,Yes
9161600981,3002,Yes
9739231800,2107,No
9350473664,1266,Yes
7899863495,2247,Yes
8952589866,2446,Yes
9024632104,3066,No
7964106716,2321,Yes
8859343221,1308,Yes
9639970885,1490,Yes
9786279106,1835,No
9389272803,2863,Yes
9885913749,2864,Yes
9063218088,1112,No
8050748808,1811,No
9238476068,2111,No
8579213845,2928,No
9160880214,2959,Yes
9536316122,3364,No
9079238351,1299,No
8661074920,2552,Yes
9821086101,2289,No
8037448349,1489,No
9022097807,3031,Yes
9119812125,801,No
8937589278,2326,No
7981895461,2227,No
8166238508,1566,No
9393969926,3013,No
9446259314,974,No
8634506982,1914,No
9095759057,2588,No
8335393702,1821,Yes
9277358725,715,No
9248140408,2683,No
8737720780,2133,Yes
7991655161,2346,No
9079571760,2759,Yes
9098262149,3177,No
9556219624,1240,Yes
9343607824,3208,Yes
8837484113,1937,No
9258455283,1787,Yes
8052089597,3163,Yes
7950868756,798,Yes
8839410692,1035,No
9227681350,1568,Yes
8914652108,2009,Yes
8288631403,1193,No
8590061267,916,No
8920770023,1047,Yes
8882397476,997,No
9504573919,2645,No
9763053328,1027,No
8511458420,2850,Yes
9014841255,733,Yes
8887665445,1023,No
8732071688,1578,Yes
8228296795,2836,No
7926677742,2929,Yes
9752355297,1018,No
8880129592,837,No
8892662261,3368,No
8007543570,1008,Yes
8557861618,1044,No
9302284444,1870,No
8181634910,3107,Yes
9001715680,1516,Yes
8694879148,912,No
8955298854,1284,No
8888342905,1019,No
8045373102,818,No
9458557787,1227,Yes
9466130791,1897,No
9468252399,3095,Yes
8281101058,2028,No
9543777920,3318,No
7928064263,1903,No
9380518937,2432,No
8705324464,1268,No
9066754643,904,Yes
9217622068,3481,Yes
8484405865,2082,Yes
9329857695,2538,Yes
8490464618,3170,Yes
8165930817,1727,No
9600733104,3260,Yes
9279798534,1442,No
8217803290,2700,No
9783564102,1426,No
8648594946,1919,Yes
9852310165,1832,Yes
8607188263,2796,No
7923392307,1055,Yes
8580888615,1550,Yes
9774863321,1406,Yes
9682659608,1747,No
8615258122,2312,Yes
7967746419,1913,Yes
7919437188,2429,No
8959409274,2020,No
8408651381,3318,Yes
9784684169,3106,No
7930791608,3050,No
8135455065,2138,Yes
9786723752,1861,No
9188170831,3349,Yes
9858558455,1384,No
8055395191,3405,Yes
9006817331,2681,Yes
8310958553,3232,No
8820496119,3159,No
7943687980,2837,No
8778322701,3403,No
9418519654,2996,Yes
9693677798,2821,No
7995457336,1487,No
9300422946,2698,No
9195348098,1146,No
9158066389,3014,No
9711649757,2213,No
8354348862,794,Yes
8935023516,1990,Yes
8767528728,1739,No
8356610576,2019,No
8727021083,829,Yes
9878425008,3422,No
8257025030,2450,No
9320525660,3169,Yes
8337107405,2132,No
9416848990,2672,No
