Mobile Number,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,Credit Score
8005096151,1304166,10000,10000,10000, 36 months,10.65%,325.74,B,B2,642
7900249965,1304171,10000,10000,10000, 36 months,6.03%,304.36,A,A1,435
8086575312,1303701,11000,11000,11000, 36 months,6.62%,337.75,A,A2,418
8378183818,1304123,15000,15000,15000, 36 months,9.91%,483.38,B,B1,620
8789043820,1302485,25600,25600,25350, 36 months,9.91%,824.96,B,B1,526
9521612442,1304117,7000,7000,7000, 36 months,10.65%,228.02,B,B2,630
9488975692,1304116,12000,12000,12000, 36 months,15.96%,421.65,C,C5,851
9710654745,1303909,12000,12000,12000, 36 months,9.91%,386.7,B,B1,459
9151604748,1303652,21000,21000,20975, 60 months,19.91%,555.33,E,E4,590
9877637900,1302790,16000,16000,15950, 60 months,19.91%,423.11,E,E4,580
8036486114,1302882,10000,10000,10000, 36 months,12.42%,334.16,B,B4,374
8041555021,1274517,10000,10000,10000, 36 months,10.65%,325.74,B,B2,399
8893604800,1287308,7100,7100,7100, 36 months,16.77%,252.33,D,D2,689
9377658241,1287810,13000,13000,13000, 60 months,12.69%,293.74,B,B5,469
9060337924,1277395,17500,8950,8925, 60 months,17.27%,223.74,D,D3,343
9177658242,1278095,17675,17675,17675, 60 months,14.65%,417.25,C,C3,329
8859865995,1303549,8000,8000,8000, 36 months,16.77%,284.31,D,D2,541
8915140926,1303778,10000,10000,9975, 60 months,10.65%,215.69,B,B2,845
8694489644,1303750,3500,3500,3500, 36 months,10.65%,114.01,B,B2,566
8720001327,1303740,12500,8925,8925, 60 months,17.27%,223.11,D,D3,716
9220403200,1303473,16425,16425,16425, 36 months,14.27%,563.53,C,C2,473
8273140425,1303528,8200,8200,8200, 60 months,21.28%,223.14,F,F2,408
8318477188,1303718,15000,15000,15000, 36 months,14.65%,517.42,C,C3,885
8557350530,1303486,20975,13575,13550, 60 months,17.58%,341.63,D,D4,720
7989725758,1292558,6400,6400,6400, 36 months,16.77%,227.45,D,D2,516
9415740068,1303716,3000,3000,3000, 36 months,13.49%,101.8,C,C1,556
9281802879,1299004,12000,12000,12000, 36 months,16.77%,426.47,D,D2,694
9100780418,1303514,14400,14400,14400, 36 months,8.90%,457.25,A,A5,706
9470066149,1303303,12000,12000,12000, 36 months,14.65%,413.94,C,C3,735
8341013477,1303482,11000,11000,11000, 36 months,13.49%,373.24,C,C1,879
7945202157,1302799,7250,7200,7175, 60 months,21.67%,197.51,F,F3,816
8697188106,1303437,15000,15000,15000, 36 months,7.90%,469.36,A,A4,402
9796327885,1279714,18000,18000,18000, 60 months,19.91%,475.99,E,E4,378
8573021564,1303432,35000,22075,22050, 60 months,17.27%,551.84,D,D3,741
9056158979,1302869,10000,10000,10000, 36 months,14.27%,343.09,C,C2,411
9705035259,1282013,11800,11800,11800, 36 months,12.69%,395.83,B,B5,787
8281738596,1303403,4500,4500,4500, 36 months,6.03%,136.96,A,A1,757
8586575168,1303379,7000,7000,7000, 36 months,12.69%,234.82,B,B5,451
9020663702,1276120,9200,9200,9200, 36 months,12.42%,307.43,B,B4,753
8104374925,1297940,14000,14000,13975, 60 months,17.27%,349.98,D,D3,783
8495070161,1272024,4500,4500,4475, 60 months,10.65%,97.06,B,B2,778
8976505880,1303326,12000,12000,12000, 36 months,16.29%,423.61,D,D1,470
7910340089,1303200,12000,12000,12000, 36 months,13.49%,407.17,C,C1,849
8575323879,1303163,12000,12000,12000, 36 months,10.65%,390.88,B,B2,441
8369820555,1302938,7000,7000,7000, 36 months,10.65%,228.02,B,B2,805
8477535922,1299785,8200,8200,8200, 60 months,19.42%,214.62,E,E3,778
8835047672,1303150,10500,10500,10500, 36 months,12.69%,352.23,B,B5,313
8362201580,1303147,7000,7000,7000, 36 months,11.71%,231.54,B,B3,385
8083161822,1303001,15300,15300,15275, 60 months,22.06%,423.1,F,F4,489
8308879198,1280928,20000,12800,12775, 60 months,11.71%,282.86,B,B3,851
9535750846,1303143,17500,17500,17500, 60 months,17.27%,437.47,D,D3,800
8989703460,1302971,3500,3500,3500, 36 months,6.03%,106.53,A,A1,799
9574227947,1302235,6000,6000,6000, 60 months,12.69%,135.57,B,B5,337
8497803620,1302907,6200,6200,6200, 36 months,9.91%,199.8,B,B1,711
8742106194,1264291,16000,16000,16000, 60 months,17.58%,402.65,D,D4,359
8613603868,1302906,6000,6000,6000, 36 months,8.90%,190.52,A,A5,778
9888691072,1300833,7200,7200,7200, 36 months,9.91%,232.02,B,B1,794
9308980603,1302930,9500,9500,9500, 36 months,8.90%,301.66,A,A5,524
8006699660,1302924,18825,18825,18800, 60 months,16.77%,465.53,D,D2,536
9635457193,1302942,24000,24000,24000, 36 months,10.65%,781.76,B,B2,863
8187087286,1300950,6000,6000,6000, 36 months,13.49%,203.59,C,C1,649
9602730533,1302879,6000,6000,6000, 36 months,13.49%,203.59,C,C1,542
9846798480,1302706,2100,2100,2100, 36 months,12.42%,70.18,B,B4,334
8576213061,1302680,5500,5500,5500, 36 months,6.62%,168.88,A,A2,604
9701739127,1302681,11000,11000,11000, 36 months,6.62%,337.75,A,A2,615
9422694315,1302831,26800,26800,26800, 60 months,20.89%,723.38,F,F1,635
9772782638,1277297,8000,8000,8000, 36 months,12.69%,268.36,B,B5,507
9789108009,1302365,10000,10000,10000, 36 months,18.25%,362.78,D,D5,390
8169384382,1287293,8000,8000,8000, 36 months,11.71%,264.61,B,B3,586
9647922235,1293438,10000,10000,10000, 36 months,8.90%,317.54,A,A5,885
8264335005,1302622,12000,12000,12000, 36 months,11.71%,396.92,B,B3,606
9191856767,1302785,10000,10000,10000, 36 months,7.90%,312.91,A,A4,703
8917117039,1302773,12000,12000,12000, 36 months,9.91%,386.7,B,B1,899
9036646902,1302588,25000,25000,23088.16106, 60 months,13.49%,575.12,C,C1,737
8539710307,1302360,19750,19750,19725, 36 months,10.65%,643.33,B,B2,874
9676748915,1302430,10000,10000,10000, 36 months,9.91%,322.25,B,B1,660
8614824595,1299748,13650,13650,13650, 36 months,12.42%,456.12,B,B4,615
8864159843,1302564,28000,11800,11775, 60 months,19.91%,312.04,E,E4,804
8015834568,1302728,18000,18000,18000, 36 months,7.90%,563.23,A,A4,403
9081715626,1302565,2500,2500,2500, 36 months,14.27%,85.78,C,C2,854
8056397475,1299784,21000,21000,20120.80657, 60 months,20.30%,559.89,E,E5,412
8330435575,1302729,35000,35000,35000, 36 months,8.90%,1111.37,A,A5,629
8330340388,1302549,10000,10000,10000, 36 months,7.51%,311.11,A,A3,374
8517596760,1291305,7000,7000,7000, 36 months,12.69%,234.82,B,B5,648
9074824435,1300572,24000,24000,24000, 36 months,15.96%,843.3,C,C5,872
8757757002,1295780,10625,10625,10625, 36 months,7.51%,330.56,A,A3,360
9826604787,1302311,5000,5000,5000, 36 months,14.65%,172.48,C,C3,777
9047467204,1302299,8850,8850,8850, 36 months,6.62%,271.73,A,A2,647
9838599427,1302295,6375,6375,6375, 36 months,7.51%,198.34,A,A3,751
8929911583,1302467,6000,6000,6000, 36 months,11.71%,198.46,B,B3,794
8482856064,1302472,11100,11100,11100, 36 months,6.62%,340.82,A,A2,513
9789080815,1302044,10000,10000,10000, 60 months,12.69%,225.95,B,B5,820
9593180039,1292431,6200,6200,6200, 36 months,6.03%,188.71,A,A1,707
9499444315,1293317,15000,15000,15000, 36 months,18.64%,547.12,E,E1,454
8039935864,1302453,4200,4200,4200, 36 months,11.71%,138.92,B,B3,503
8774728667,1301537,14000,14000,14000, 36 months,14.27%,480.33,C,C2,509
8167498075,1030901,8875,8875,8875, 36 months,7.51%,276.11,A,A3,423
8504093012,1296092,13500,13500,13500, 36 months,9.91%,435.04,B,B1,746
8524584066,1302450,12000,12000,12000, 36 months,9.91%,386.7,B,B1,324
9732434563,1302449,16000,16000,15975, 60 months,19.91%,423.11,E,E4,352
9419066128,1270159,21600,21600,20498.26578, 60 months,19.42%,565.32,E,E3,805
8181908335,1302434,6000,6000,6000, 36 months,10.65%,195.44,B,B2,529
9571565226,1289398,8450,8450,8425, 60 months,16.77%,208.97,D,D2,396
9142250623,1276836,20000,20000,18590.33777, 60 months,13.49%,460.1,C,C1,588
8774260138,1302151,10000,10000,10000, 36 months,11.71%,330.76,B,B3,425
9802762608,1302174,12000,12000,12000, 36 months,16.29%,423.61,D,D1,374
9351488863,1302371,13475,13475,13450, 60 months,13.49%,309.99,C,C1,851
9038854730,1284571,7200,7200,7200, 36 months,12.42%,240.59,B,B4,744
8988322227,1247741,5600,5600,5600, 36 months,14.65%,193.17,C,C3,328
8359894130,1298688,12000,12000,11975, 36 months,14.27%,411.71,C,C2,757
8942967353,1301487,8500,8500,8500, 36 months,6.03%,258.71,A,A1,411
9667573120,1302322,8000,8000,8000, 36 months,9.91%,257.8,B,B1,705
9793901528,1289083,8000,8000,8000, 36 months,12.42%,267.33,B,B4,401
8257000794,1301868,16000,16000,8150, 60 months,15.27%,382.92,C,C4,393
9233181682,1294027,15000,15000,15000, 36 months,17.27%,536.81,D,D3,402
8386257281,1301839,10000,10000,10000, 36 months,9.91%,322.25,B,B1,397
9667234256,1291030,10000,10000,10000, 36 months,6.62%,307.04,A,A2,891
8683412314,1294481,8000,8000,8000, 36 months,14.65%,275.96,C,C3,861
8551032924,1302055,22000,22000,22000, 36 months,9.91%,708.95,B,B1,767
9353560134,1301833,6000,6000,6000, 36 months,14.27%,205.86,C,C2,313
9599386972,1302043,16000,16000,15975, 60 months,9.91%,339.25,B,B1,468
9490033344,1302032,2500,2500,2500, 36 months,7.51%,77.78,A,A3,710
8376890941,1294350,13500,13500,13500, 36 months,9.91%,435.04,B,B1,819
8576967710,1301822,25000,25000,25000, 36 months,12.42%,835.39,B,B4,514
9454433581,1301804,10000,10000,10000, 36 months,13.49%,339.31,C,C1,733
8715489441,1301984,2500,2500,2500, 36 months,13.49%,84.83,C,C1,324
8388177312,1301961,7325,7325,7325, 36 months,12.69%,245.72,B,B5,651
9397869063,1301944,4000,4000,4000, 36 months,12.42%,133.67,B,B4,882
8894654052,1301744,10000,10000,10000, 36 months,13.49%,339.31,C,C1,421
9493188056,1301933,7750,7750,7750, 36 months,17.27%,277.36,D,D3,480
8488972270,1294536,20000,20000,20000, 60 months,20.89%,539.84,F,F1,829
9214357436,1301036,9600,9600,9600, 36 months,12.42%,320.79,B,B4,492
9120925407,1301506,21000,21000,21000, 60 months,11.71%,464.07,B,B3,652
9480204271,1301703,14000,14000,14000, 36 months,10.65%,456.03,B,B2,872
9082358022,1300973,13350,13350,13350, 36 months,12.42%,446.1,B,B4,786
9347885323,1301699,15000,15000,15000, 36 months,16.77%,533.08,D,D2,757
8545391756,1301481,15000,15000,15000, 36 months,17.27%,536.81,D,D3,853
8106626384,1277832,11000,11000,10750, 60 months,13.49%,253.06,C,C1,790
9668846506,1301459,35000,35000,35000, 36 months,10.65%,1140.07,B,B2,653
8421710185,1301465,9000,9000,9000, 36 months,10.65%,293.16,B,B2,851
9438514836,1292842,22475,22475,22425, 60 months,15.27%,537.87,C,C4,859
9065617546,1301632,16000,16000,16000, 36 months,12.69%,536.72,B,B5,840
8301078829,1301658,13500,13500,13500, 36 months,12.69%,452.86,B,B5,490
8325456911,1301436,24000,24000,24000, 36 months,12.69%,805.08,B,B5,792
9314138179,1301654,12000,12000,12000, 36 months,10.65%,390.88,B,B2,787
8248653094,1301634,8400,8400,8150, 60 months,16.77%,207.73,D,D2,480
9059118833,1300826,28000,28000,27975, 60 months,17.58%,704.64,D,D4,365
9158201410,1301392,14000,14000,14000, 36 months,6.62%,429.86,A,A2,771
9292144268,1301405,12000,12000,12000, 36 months,14.27%,411.71,C,C2,833
9602480282,1301397,25000,25000,25000, 36 months,11.71%,826.9,B,B3,443
9562711384,1299445,9000,9000,9000, 36 months,12.69%,301.91,B,B5,555
9317371757,1301395,13250,13250,13250, 36 months,10.65%,431.6,B,B2,348
8090106090,1293509,20000,20000,20000, 36 months,13.49%,678.61,C,C1,350
9677454240,1301384,3000,3000,3000, 36 months,14.65%,103.49,C,C3,741
9024890178,1301585,7350,7350,7350, 36 months,10.65%,239.42,B,B2,472
9162745343,1301365,11500,11500,11500, 36 months,15.27%,400.18,C,C4,721
8713835976,1260676,13650,13650,13650, 36 months,12.42%,456.12,B,B4,812
8975722206,1301027,10500,10500,10500, 36 months,16.29%,370.66,D,D1,329
8275586210,1301536,12000,12000,11975, 36 months,9.91%,386.7,B,B1,716
8332002904,1301534,6000,6000,6000, 36 months,8.90%,190.52,A,A5,665
9805875064,1301527,11500,11500,11500, 36 months,15.27%,400.18,C,C4,355
9527591194,1301115,7000,7000,7000, 36 months,12.42%,233.91,B,B4,698
9249697820,1300906,29500,29500,28513.45925, 60 months,20.30%,786.51,E,E5,600
8497381265,1301028,2000,2000,2000, 36 months,15.27%,69.6,C,C4,514
8709991056,1301015,11625,11625,11625, 36 months,13.49%,394.45,C,C1,368
8682396642,1295793,15075,15075,15075, 36 months,14.27%,517.21,C,C2,520
8614182550,1289006,5300,5300,5300, 36 months,15.27%,184.43,C,C4,657
8920600860,1270873,8200,8200,8200, 36 months,6.62%,251.77,A,A2,716
8904869684,1299103,12000,12000,12000, 36 months,12.42%,400.99,B,B4,639
8063588601,1284024,8650,8650,8650, 36 months,14.27%,296.78,C,C2,787
8436405241,1300858,21000,11800,11500, 60 months,17.27%,294.98,D,D3,762
8707701901,1300852,16000,16000,16000, 60 months,17.27%,399.97,D,D3,791
9464441713,1300945,12000,12000,11975, 36 months,12.42%,400.99,B,B4,843
7972145426,1300982,9500,9500,9500, 36 months,12.69%,318.68,B,B5,669
8148710502,1300831,7400,7400,7400, 36 months,13.49%,251.09,C,C1,716
9022781182,1300823,14400,14400,14400, 36 months,13.49%,488.6,C,C1,371
8043686603,1292408,24250,18100,18075, 60 months,23.91%,519.76,G,G4,310
8647580619,1300949,7200,7200,7200, 36 months,7.90%,225.29,A,A4,859
8944327638,1300801,26000,26000,25975, 60 months,16.77%,642.96,D,D2,503
9817087102,1299754,7000,7000,6975, 60 months,11.71%,154.69,B,B3,751
8647318653,1300951,4000,4000,4000, 36 months,7.51%,124.45,A,A3,686
8928952739,1300806,1500,1500,1500, 36 months,17.27%,53.69,D,D3,766
8953024968,1293857,19600,19600,19600, 36 months,12.42%,654.94,B,B4,505
8763371699,1300783,2500,2500,2500, 36 months,11.71%,82.69,B,B3,845
9227725405,1300476,10000,10000,10000, 36 months,12.69%,335.45,B,B5,601
8701847017,1300506,10000,10000,10000, 36 months,6.62%,307.04,A,A2,472
9461810793,1300495,4225,4225,4225, 36 months,12.42%,141.18,B,B4,514
8953994081,1300072,3500,3500,3500, 36 months,7.90%,109.52,A,A4,408
8493600419,1300766,12000,12000,12000, 36 months,6.62%,368.45,A,A2,580
7912393942,1300722,16500,16500,16500, 36 months,8.90%,523.93,A,A5,571
9245566479,1293224,22000,22000,21975, 60 months,21.67%,603.5,F,F3,497
8432244425,1293522,12000,12000,12000, 36 months,14.65%,413.94,C,C3,795
9765331211,1300716,15600,15600,15600, 60 months,12.69%,352.48,B,B5,801
8432797771,1300453,10800,10800,10800, 36 months,12.42%,360.89,B,B4,846
9485530730,1300438,14000,14000,14000, 36 months,12.42%,467.82,B,B4,864
8039489075,1296651,18825,18825,18800, 60 months,17.58%,473.75,D,D4,302
8540794537,1300689,6000,6000,6000, 36 months,13.49%,203.59,C,C1,396
8892072588,1300423,12000,12000,12000, 36 months,9.91%,386.7,B,B1,688
8515398771,1295591,10000,10000,10000, 36 months,12.42%,334.16,B,B4,488
8369234702,1293196,8000,8000,8000, 36 months,7.90%,250.33,A,A4,496
8478182344,1300643,14125,14125,14125, 36 months,9.91%,455.18,B,B1,319
8902903545,1300646,14000,14000,14000, 36 months,12.69%,469.63,B,B5,544
8643669771,1287925,13200,8975,8975, 60 months,17.27%,224.36,D,D3,497
8634257979,1300402,4000,4000,4000, 36 months,19.03%,146.69,E,E2,841
8305119067,1279867,4000,4000,4000, 36 months,12.69%,134.18,B,B5,783
8979299890,1257917,10500,10500,10500, 36 months,6.03%,319.58,A,A1,563
9587688356,1291243,5500,5500,5500, 36 months,7.90%,172.1,A,A4,848
9715652274,1300569,7350,7350,7350, 36 months,11.71%,243.11,B,B3,727
8835536202,1300594,10000,10000,10000, 36 months,12.42%,334.16,B,B4,385
8046128056,1287799,12000,12000,12000, 36 months,7.51%,373.33,A,A3,658
7910288088,1300556,5000,5000,5000, 60 months,11.71%,110.5,B,B3,642
9287165712,1292817,8000,8000,8000, 60 months,11.71%,176.79,B,B3,354
9428411289,1194336,4500,4500,4500, 36 months,8.90%,142.89,A,A5,360
9620157978,1300547,18000,18000,17975, 36 months,12.42%,601.48,B,B4,416
8086335611,1300526,12300,12300,12300, 60 months,13.49%,282.96,C,C1,755
9133501644,1300340,12000,12000,12000, 36 months,13.49%,407.17,C,C1,367
8981334875,1300323,10000,10000,10000, 36 months,13.49%,339.31,C,C1,624
9520349747,1300296,6000,6000,6000, 36 months,7.90%,187.75,A,A4,441
8909366343,1300523,12000,12000,12000, 36 months,12.69%,402.54,B,B5,479
9750330940,1300514,12000,12000,12000, 36 months,8.90%,381.04,A,A5,607
9671324871,1270530,7000,7000,7000, 36 months,11.71%,231.54,B,B3,849
9173132739,1277661,35000,26825,26800, 60 months,18.64%,690.56,E,E1,344
8494920927,1299269,1400,1400,1400, 36 months,7.90%,43.81,A,A4,780
7908548125,1296011,16000,16000,16000, 60 months,13.49%,368.08,C,C1,759
8521768128,1300077,3200,3200,3200, 36 months,9.91%,103.12,B,B1,597
8264958281,1300082,8000,8000,8000, 36 months,7.90%,250.33,A,A4,465
8379661082,1300264,11875,11875,11875, 60 months,12.69%,268.32,B,B5,320
9295936038,1300233,5000,5000,5000, 36 months,6.03%,152.18,A,A1,845
8509399532,1300229,1800,1800,1800, 36 months,6.62%,55.27,A,A2,836
9326382215,1300036,35000,35000,35000, 36 months,8.90%,1111.37,A,A5,340
9067037402,1300209,18000,18000,17950, 36 months,8.90%,571.56,A,A5,680
9425477213,1300216,14000,14000,14000, 36 months,7.90%,438.07,A,A4,581
8663875862,1294147,5000,5000,5000, 36 months,12.42%,167.08,B,B4,516
7956433402,1292952,8000,8000,8000, 36 months,15.96%,281.1,C,C5,415
8154245668,1300203,10000,10000,10000, 36 months,6.03%,304.36,A,A1,330
8571197032,1300001,10000,10000,9975, 36 months,7.51%,311.11,A,A3,689
9876861057,1300000,12000,12000,12000, 36 months,12.42%,400.99,B,B4,759
9509935812,1299989,23200,23200,23175, 36 months,7.90%,725.94,A,A4,393
9540904489,1299228,18000,18000,17975, 60 months,15.27%,430.78,C,C4,644
8489356860,1294318,4800,4800,4800, 36 months,15.27%,167.03,C,C4,883
9317978199,1299977,7300,7300,7300, 36 months,11.71%,241.46,B,B3,666
9694786584,1300151,10400,10400,10400, 36 months,9.91%,335.14,B,B1,341
8767893335,1280767,6600,6600,6600, 36 months,9.91%,212.69,B,B1,590
8486294772,1300149,12000,12000,12000, 36 months,8.90%,381.04,A,A5,863
8864825497,1300128,13250,13250,13250, 36 months,17.27%,474.19,D,D3,755
9133444429,1293926,12000,12000,12000, 36 months,11.71%,396.92,B,B3,325
9648765908,1299871,25000,25000,25000, 36 months,9.91%,805.63,B,B1,365
9626524365,1295634,6000,6000,6000, 36 months,10.65%,195.44,B,B2,611
9540809217,1299858,12000,12000,12000, 36 months,7.51%,373.33,A,A3,373
9473172027,1293268,14400,14400,14400, 36 months,11.71%,476.3,B,B3,700
8653463842,1299839,10000,10000,10000, 36 months,12.42%,334.16,B,B4,579
8735431228,1299834,8000,8000,8000, 36 months,11.71%,264.61,B,B3,730
8945890478,1298879,8000,8000,8000, 36 months,16.29%,282.41,D,D1,532
8227982295,1288555,30000,30000,28673.79652, 60 months,12.42%,673.72,B,B4,352
8489445353,1299629,18000,18000,18000, 60 months,16.77%,445.13,D,D2,316
9339868245,1299812,13250,13250,13250, 36 months,11.71%,438.26,B,B3,693
8354896279,1299792,14000,14000,14000, 36 months,14.27%,480.33,C,C2,705
8173474259,1293410,20000,20000,19975, 60 months,20.30%,533.23,E,E5,435
9174527473,1299597,10000,10000,10000, 36 months,16.29%,353.01,D,D1,539
8728777066,1293700,35000,23250,23200, 60 months,20.30%,619.88,E,E5,536
8354063407,1299772,4000,4000,4000, 36 months,6.03%,121.75,A,A1,365
8918120953,1299774,13000,13000,13000, 36 months,9.91%,418.93,B,B1,351
9875925021,1299593,28000,28000,28000, 36 months,12.69%,939.26,B,B5,665
8161556403,1299768,10000,10000,10000, 36 months,13.49%,339.31,C,C1,354
9823766103,1299549,20000,20000,20000, 36 months,7.90%,625.81,A,A4,652
9481209726,1299579,18000,18000,17950, 36 months,9.91%,580.05,B,B1,869
9069909722,1299576,9000,9000,9000, 60 months,19.91%,238,E,E4,429
8883254184,1299755,25000,25000,24975, 60 months,18.64%,643.58,E,E1,724
9805800687,1299526,10000,10000,10000, 36 months,11.71%,330.76,B,B3,409
8146419733,1291082,4200,4200,4200, 36 months,6.03%,127.83,A,A1,462
9250949567,1296692,20000,20000,19975, 60 months,15.27%,478.64,C,C4,313
9110066275,1294261,18000,18000,17975, 60 months,17.27%,449.97,D,D3,774
9787527093,1299469,24000,24000,24000, 36 months,16.29%,847.21,D,D1,465
9569504202,1299463,4475,4475,4475, 36 months,15.27%,155.72,C,C4,553
8909416281,1299434,20000,20000,19950, 60 months,14.65%,472.14,C,C3,344
9073963220,1299450,12000,12000,12000, 36 months,12.42%,400.99,B,B4,467
8599037414,1290516,18000,18000,18000, 60 months,17.58%,452.98,D,D4,319
8459065365,1299443,5000,5000,5000, 36 months,12.42%,167.08,B,B4,688
9773047782,1107021,3000,3000,3000, 36 months,6.03%,91.31,A,A1,464
8043404063,1299224,25000,25000,24975, 60 months,19.03%,648.93,E,E2,380
9596390652,1299408,18000,18000,18000, 60 months,19.03%,467.23,E,E2,408
7938263186,1299388,12000,12000,12000, 36 months,9.91%,386.7,B,B1,738
8814837169,1299041,20000,20000,20000, 36 months,15.27%,695.96,C,C4,531
9398962943,1299382,10000,10000,10000, 36 months,13.49%,339.31,C,C1,324
8492287953,1298955,15000,15000,15000, 36 months,12.42%,501.23,B,B4,329
9737009175,1298728,12000,12000,12000, 36 months,7.90%,375.49,A,A4,672
8393314559,1200058,20000,13475,13041.47044, 60 months,10.65%,290.64,B,B2,422
9718276680,1299343,6300,6300,6300, 36 months,11.71%,208.38,B,B3,554
9032229224,1291550,20000,20000,18626.34674, 60 months,16.77%,494.59,D,D2,634
7972494262,1299187,35000,23150,21739.74813, 60 months,17.27%,578.71,D,D3,460
9111415256,1279118,8250,8250,8086.748004, 60 months,15.96%,200.45,C,C5,587
8370220579,1299181,20000,20000,18847.37306, 60 months,12.69%,451.9,B,B5,767
8222594372,1299180,10000,10000,10000, 36 months,11.71%,330.76,B,B3,648
8921787088,1299335,24000,24000,24000, 36 months,8.90%,762.08,A,A5,398
9064121209,1298920,14400,14400,14400, 36 months,12.69%,483.05,B,B5,609
8912211613,1299321,6000,6000,6000, 36 months,14.65%,206.97,C,C3,801
8897337222,1298813,22000,22000,21975, 36 months,15.96%,773.03,C,C5,766
9057167917,1291228,12000,12000,12000, 36 months,11.71%,396.92,B,B3,701
9758921712,1262529,16000,16000,16000, 36 months,16.77%,568.62,D,D2,698
8556015061,1299108,10000,10000,10000, 36 months,10.65%,325.74,B,B2,879
9787617620,1299015,16000,11625,11368.73446, 60 months,19.03%,301.76,E,E2,572
8237531668,1299063,10000,10000,10000, 36 months,12.69%,335.45,B,B5,476
9106415207,1299065,3500,3500,3500, 36 months,13.49%,118.76,C,C1,331
9423174914,1299060,9600,9600,9600, 36 months,9.91%,309.36,B,B1,368
8377817039,1298873,9875,9875,9875, 36 months,7.90%,309,A,A4,795
9504917180,1298869,21500,16975,15953.42639, 60 months,17.58%,427.19,D,D4,611
8947673014,1298975,4800,4800,4800, 36 months,7.90%,150.2,A,A4,802
