Mobile Number,Occupation,Salary
9796327885,Public Sector,195881
8573021564,Public Sector,152797
9056158979,Public Sector,373551
9705035259,Private Sector,1042936
8281738596,Public Sector,477621
8586575168,Government,571056
9020663702,Public Sector,1199190
8104374925,Public Sector,1430506
8495070161,Private Sector,316028
8976505880,Government,250291
7910340089,Government,317565
8575323879,Government,1122156
8369820555,Public Sector,94810
8477535922,Government,1185411
8835047672,Public Sector,683974
8362201580,Private Sector,1951633
8083161822,Private Sector,766641
8308879198,Public Sector,1049089
9535750846,Public Sector,1910251
8989703460,Public Sector,804381
9574227947,Government,1047520
8497803620,Public Sector,1228116
8742106194,Private Sector,332042
8613603868,Public Sector,1835194
9888691072,Public Sector,1977809
9308980603,Government,979540
8006699660,Public Sector,1105698
9635457193,Private Sector,1548313
8187087286,Government,442824
9602730533,Public Sector,303046
9846798480,Private Sector,1098612
8576213061,Public Sector,206680
9701739127,Public Sector,834306
9422694315,Government,388756
9772782638,Public Sector,149281
9789108009,Public Sector,1547028
8169384382,Public Sector,243773
9647922235,Government,1283033
8264335005,Government,1284776
9191856767,Private Sector,1263396
8917117039,Government,886443
9036646902,Private Sector,53934
8539710307,Public Sector,1346662
9676748915,Public Sector,697232
8614824595,Public Sector,1003311
8864159843,Private Sector,1879449
8015834568,Government,523579
9081715626,Public Sector,1882142
8056397475,Public Sector,41465
8330435575,Private Sector,1455027
8330340388,Government,1568228
8517596760,Private Sector,321824
9074824435,Private Sector,65098
8757757002,Private Sector,902389
9826604787,Private Sector,1805145
9047467204,Private Sector,86593
9838599427,Government,445891
8929911583,Government,294090
8482856064,Private Sector,107760
9789080815,Government,1496478
9593180039,Public Sector,671374
9499444315,Public Sector,561912
8039935864,Private Sector,192428
8774728667,Private Sector,730201
8167498075,Private Sector,331850
8504093012,Private Sector,1493228
8524584066,Public Sector,1856812
9732434563,Government,674547
9419066128,Government,1793089
8181908335,Public Sector,688598
9571565226,Private Sector,1424925
9142250623,Public Sector,521827
8774260138,Private Sector,403617
9802762608,Government,1412219
9351488863,Government,1374939
9038854730,Private Sector,653866
8988322227,Public Sector,1643356
8359894130,Private Sector,1410444
8942967353,Government,1332972
9667573120,Public Sector,1809890
9793901528,Government,1478293
8257000794,Government,590332
9233181682,Private Sector,1352036
8386257281,Government,912148
9667234256,Public Sector,525118
8683412314,Private Sector,827142
8551032924,Public Sector,1765654
9353560134,Government,517866
9599386972,Government,185601
9490033344,Public Sector,1908779
8376890941,Public Sector,893215
8576967710,Public Sector,186013
9454433581,Public Sector,832605
8715489441,Private Sector,65040
8388177312,Private Sector,1399755
9397869063,Private Sector,1025714
8894654052,Government,1098952
9493188056,Government,1523601
8488972270,Public Sector,1196833
9214357436,Private Sector,1874164
9120925407,Public Sector,1428559
9480204271,Public Sector,1789584
9082358022,Government,1049726
9347885323,Government,1502200
8545391756,Private Sector,1206984
8106626384,Private Sector,436709
9668846506,Government,1618550
8421710185,Public Sector,801974
9438514836,Government,990852
9065617546,Private Sector,1210973
8301078829,Public Sector,529235
8325456911,Private Sector,1846705
9314138179,Public Sector,836550
8248653094,Public Sector,368567
9059118833,Government,643541
9158201410,Government,1989600
9292144268,Private Sector,1003950
9602480282,Public Sector,516136
9562711384,Government,741826
9317371757,Private Sector,736344
8090106090,Private Sector,1081334
9677454240,Government,1911529
9024890178,Private Sector,1926899
9162745343,Public Sector,1569756
8713835976,Public Sector,1908825
8975722206,Private Sector,231737
8275586210,Public Sector,235090
8332002904,Private Sector,77073
9805875064,Public Sector,1820763
9527591194,Private Sector,1302117
9249697820,Private Sector,1865016
8497381265,Government,1940753
8709991056,Public Sector,1317714
8682396642,Public Sector,171187
8614182550,Public Sector,737302
8920600860,Public Sector,937650
8904869684,Government,555375
8063588601,Public Sector,742866
8436405241,Public Sector,1935225
8707701901,Private Sector,390424
9464441713,Public Sector,514554
7972145426,Government,269863
8148710502,Private Sector,973683
9022781182,Public Sector,1481141
8043686603,Public Sector,317422
8647580619,Private Sector,279361
8944327638,Public Sector,1072059
9817087102,Private Sector,1177757
8647318653,Private Sector,931440
8928952739,Public Sector,1550261
8953024968,Private Sector,1419903
8763371699,Private Sector,1859481
9227725405,Private Sector,42989
8701847017,Government,1476370
9461810793,Public Sector,668964
8953994081,Private Sector,789853
8493600419,Private Sector,1275719
7912393942,Private Sector,59753
9245566479,Public Sector,1284634
8432244425,Public Sector,540718
9765331211,Government,317473
8432797771,Public Sector,765349
9485530730,Private Sector,213398
8039489075,Private Sector,933216
8540794537,Private Sector,1297662
8892072588,Government,1931167
8515398771,Private Sector,1970447
8369234702,Public Sector,84663
8478182344,Government,1497510
8902903545,Public Sector,1606173
8643669771,Government,1315866
8634257979,Public Sector,836503
8305119067,Public Sector,1450269
8979299890,Public Sector,594970
9587688356,Government,1525902
9715652274,Government,1949296
8835536202,Government,1750627
8046128056,Private Sector,1664537
7910288088,Private Sector,1232484
9287165712,Government,1464491
9428411289,Private Sector,953640
9620157978,Government,1174231
8086335611,Private Sector,916776
9133501644,Public Sector,1465894
8981334875,Private Sector,656408
9520349747,Public Sector,989900
8909366343,Public Sector,771034
9750330940,Government,305641
9671324871,Public Sector,1484107
9173132739,Government,1619537
8494920927,Government,153799
7908548125,Public Sector,1012232
8521768128,Private Sector,1583792
8264958281,Public Sector,74905
8379661082,Government,1430707
9295936038,Government,543971
8509399532,Public Sector,1499936
9326382215,Public Sector,1816212
9067037402,Private Sector,1786583
9425477213,Public Sector,663268
8663875862,Government,687181
7956433402,Private Sector,1599911
8154245668,Private Sector,1485189
8571197032,Public Sector,1101686
9876861057,Public Sector,1228735
9509935812,Public Sector,572436
9540904489,Public Sector,878548
8489356860,Private Sector,732159
9317978199,Private Sector,560093
9694786584,Public Sector,380763
8767893335,Government,1273256
8486294772,Public Sector,84918
8864825497,Public Sector,164054
9133444429,Government,461551
9648765908,Public Sector,831116
9626524365,Government,157213
9540809217,Government,1692203
9473172027,Private Sector,1922746
8653463842,Public Sector,1211530
8735431228,Public Sector,601704
8945890478,Public Sector,239993
8227982295,Private Sector,733110
8489445353,Government,1713360
9339868245,Government,900360
8354896279,Public Sector,1073086
8173474259,Private Sector,1406574
9174527473,Government,1086033
8728777066,Private Sector,222591
8354063407,Private Sector,1972096
8918120953,Public Sector,300906
9875925021,Private Sector,1173022
8161556403,Government,1408860
9823766103,Public Sector,902123
9481209726,Government,740918
9069909722,Private Sector,167856
8883254184,Public Sector,195010
9805800687,Public Sector,1871118
8146419733,Private Sector,670194
9250949567,Private Sector,1472084
9110066275,Private Sector,1506944
9787527093,Public Sector,338631
9569504202,Government,1635576
8909416281,Private Sector,1714550
9073963220,Government,499257
8599037414,Private Sector,685955
8459065365,Private Sector,1502033
9773047782,Government,1362793
8043404063,Government,613876
9596390652,Public Sector,918263
7938263186,Private Sector,676995
8814837169,Government,419145
9398962943,Public Sector,1854680
8492287953,Government,1145415
9737009175,Private Sector,1791507
8393314559,Private Sector,1906368
9718276680,Private Sector,1032366
9032229224,Government,269135
7972494262,Private Sector,835845
9111415256,Private Sector,858479
8370220579,Private Sector,1786038
8222594372,Government,1127977
8921787088,Government,1986262
9064121209,Private Sector,641148
8912211613,Private Sector,1668463
8897337222,Public Sector,643069
9057167917,Private Sector,55835
9758921712,Public Sector,1418684
8556015061,Public Sector,878277
9787617620,Private Sector,328189
8237531668,Private Sector,668833
9106415207,Government,1316721
9423174914,Private Sector,639750
8377817039,Private Sector,1693066
9504917180,Public Sector,1620081
8947673014,Private Sector,1217849
9092523683,Public Sector,537800
8263027426,Public Sector,1263069
8379988189,Public Sector,866231
7917057747,Private Sector,1679929
9078993202,Private Sector,1330108
7929748831,Private Sector,802158
8059354442,Private Sector,1551322
8354269268,Private Sector,1505955
8545159042,Government,1532758
8833643939,Government,42690
7941414897,Government,1234631
7949092576,Private Sector,1036709
8655942048,Private Sector,918773
7926134002,Public Sector,1889296
7974688386,Public Sector,1935542
9800929344,Public Sector,81056
8908620149,Private Sector,1215689
8434405540,Government,186283
9730467318,Public Sector,655183
8802532585,Public Sector,363147
9675941619,Private Sector,58581
8568809189,Public Sector,1481255
9110360314,Government,1352574
8390567346,Private Sector,1275944
9119267239,Government,945134
8993454800,Public Sector,1290095
8386762047,Private Sector,520468
9407243175,Public Sector,1588040
8801905448,Private Sector,966617
9339145630,Public Sector,1405210
9563033638,Private Sector,1776698
8664608134,Public Sector,1137982
9438959282,Government,492724
7898912701,Private Sector,887793
9435801001,Public Sector,314646
9372649144,Private Sector,1111392
9097757228,Private Sector,1495151
9343056542,Public Sector,717542
8851321471,Private Sector,1708087
8886833102,Public Sector,349213
8360617831,Public Sector,770083
8434943693,Public Sector,561056
9278461130,Government,38721
9525797696,Private Sector,882228
9198909675,Private Sector,483173
8366164058,Public Sector,876133
8891168194,Government,1005031
8636283198,Government,1208654
9763702352,Government,219829
8423379040,Public Sector,1507136
8347267996,Public Sector,339307
8301032440,Private Sector,1616705
8660261090,Government,90780
9238886170,Government,1390887
9476634401,Government,706051
9113483620,Private Sector,447372
9373548422,Private Sector,113075
9057475405,Government,1587026
9709609748,Private Sector,1308380
8463616011,Public Sector,1236279
8210539330,Private Sector,1636984
9240587315,Private Sector,254174
9468889972,Government,1267875
9028150661,Private Sector,1573389
8903840210,Private Sector,1886215
9036451286,Private Sector,240852
8723673238,Public Sector,925587
9309091194,Public Sector,437330
8031292664,Public Sector,1326887
8949881341,Government,151944
8072570084,Government,153332
9831289862,Public Sector,1593559
9184582517,Private Sector,345990
8246562660,Public Sector,129221
8031466011,Government,1622484
8234724733,Government,869376
9450587842,Public Sector,312036
9696194288,Private Sector,1571354
9736277660,Private Sector,222580
8319027205,Government,1308891
9210460331,Private Sector,113399
7954622735,Government,717959
9460823712,Private Sector,638439
9420739820,Public Sector,314492
9465774996,Private Sector,530308
9394981980,Government,635953
8032749082,Government,1562377
9250709486,Private Sector,124870
8007633473,Public Sector,1359098
9094835112,Government,317123
8285150568,Government,1914813
8307716703,Private Sector,1129939
8994886710,Private Sector,1831518
8797049912,Private Sector,442447
8532321385,Public Sector,1674312
9043930785,Public Sector,1304227
8188641583,Private Sector,1645017
8430546228,Public Sector,1577104
9469939140,Government,1193990
8415364771,Private Sector,1087846
9328663734,Government,344041
8012217253,Public Sector,1033840
9494382989,Government,163227
7987981317,Public Sector,439079
8672147415,Public Sector,749674
9566592282,Public Sector,1654094
9080402786,Government,55474
9347209511,Private Sector,937922
8589055077,Private Sector,666363
8687518242,Public Sector,1966589
8219018988,Public Sector,449111
8046986394,Private Sector,366965
8146129796,Private Sector,1845757
8375134197,Private Sector,1758775
7957464091,Private Sector,1831296
8764838424,Public Sector,774740
9161600981,Government,860416
9739231800,Private Sector,1681748
9350473664,Government,1990427
7899863495,Public Sector,478220
8952589866,Government,433060
9024632104,Public Sector,1769303
7964106716,Public Sector,1500759
8859343221,Government,708861
9639970885,Public Sector,1915026
9786279106,Public Sector,434109
9389272803,Government,974380
9885913749,Government,1571383
9063218088,Private Sector,799275
8050748808,Public Sector,1046935
9238476068,Public Sector,1658924
8579213845,Government,1992296
9160880214,Private Sector,1059045
9536316122,Public Sector,1975335
9079238351,Public Sector,382192
8661074920,Private Sector,1277922
9821086101,Private Sector,292417
8037448349,Government,1115747
9022097807,Private Sector,1324468
9119812125,Public Sector,1674306
8937589278,Public Sector,939324
7981895461,Public Sector,1764487
8166238508,Government,411536
9393969926,Public Sector,1079014
9446259314,Private Sector,923386
8634506982,Government,1888252
9095759057,Public Sector,1384917
8335393702,Private Sector,1605527
9277358725,Public Sector,1999798
9248140408,Public Sector,747596
8737720780,Public Sector,181536
7991655161,Government,1565545
9079571760,Public Sector,1152167
9098262149,Private Sector,1027256
9556219624,Government,912125
9343607824,Government,1691531
8837484113,Government,626700
9258455283,Government,813815
8052089597,Public Sector,532231
7950868756,Private Sector,1827703
8839410692,Government,181786
9227681350,Government,707128
8914652108,Government,1074411
8288631403,Government,294120
8590061267,Private Sector,1787435
8920770023,Government,639019
8882397476,Private Sector,1349410
9504573919,Private Sector,99187
9763053328,Public Sector,1299336
8511458420,Public Sector,1479417
9014841255,Government,1814142
8887665445,Government,514589
8732071688,Private Sector,1127718
8228296795,Private Sector,721816
7926677742,Government,126636
9752355297,Government,777147
8880129592,Private Sector,212461
8892662261,Public Sector,983127
8007543570,Government,695314
8557861618,Government,602753
9302284444,Public Sector,1319744
8181634910,Public Sector,1765978
9001715680,Public Sector,1751491
8694879148,Private Sector,1337339
8955298854,Private Sector,1118673
8888342905,Public Sector,202211
8045373102,Public Sector,263940
9458557787,Private Sector,1297690
9466130791,Government,624394
9468252399,Public Sector,1825900
8281101058,Government,1834533
9543777920,Government,626349
7928064263,Public Sector,562527
9380518937,Government,743407
8705324464,Public Sector,664590
9066754643,Private Sector,87977
9217622068,Private Sector,861236
8484405865,Public Sector,1519095
9329857695,Public Sector,1822976
8490464618,Public Sector,774841
8165930817,Government,404532
9600733104,Government,783982
9279798534,Private Sector,1313248
8217803290,Private Sector,1340194
9783564102,Private Sector,1775558
8648594946,Private Sector,112524
9852310165,Government,638681
8607188263,Private Sector,533867
7923392307,Government,933381
8580888615,Public Sector,131171
9774863321,Government,1017523
9682659608,Public Sector,1909510
8615258122,Government,1888083
7967746419,Public Sector,1321644
7919437188,Public Sector,859180
8959409274,Private Sector,1363063
8408651381,Public Sector,1669585
9784684169,Private Sector,206969
7930791608,Government,650014
8135455065,Public Sector,134752
9786723752,Government,971665
9188170831,Public Sector,1482009
9858558455,Government,274958
8055395191,Government,1552048
9006817331,Private Sector,1157484
8310958553,Government,461262
8820496119,Government,1889743
7943687980,Public Sector,1009906
8778322701,Private Sector,750092
9418519654,Government,196252
9693677798,Private Sector,118215
7995457336,Government,1766154
9300422946,Private Sector,1318049
9195348098,Government,494502
9158066389,Public Sector,154227
9711649757,Government,1863476
8354348862,Private Sector,1089546
8935023516,Private Sector,1717835
8767528728,Private Sector,1240368
8356610576,Public Sector,1232955
8727021083,Private Sector,1356926
9878425008,Government,1941400
8257025030,Public Sector,739513
9320525660,Public Sector,391958
8337107405,Government,1513986
9416848990,Government,907504
