Mobile Number,Qualification,Score
9750330940,G,516
9671324871,UG,493
9173132739,UG,404
8494920927,G,496
7908548125,UG,422
8521768128,UG,355
8264958281,PG,741
8379661082,PG,660
9295936038,PG,777
8509399532,PG,808
9326382215,PG,900
9067037402,PG,828
9425477213,G,665
8663875862,G,552
7956433402,PG,865
8154245668,G,585
8571197032,G,502
9876861057,UG,320
9509935812,G,591
9540904489,UG,455
8489356860,UG,305
9317978199,G,538
9694786584,UG,427
8767893335,PG,872
8486294772,G,482
8864825497,UG,396
9133444429,PG,857
9648765908,G,507
9626524365,G,470
9540809217,G,653
9473172027,UG,362
8653463842,UG,430
8735431228,G,438
8945890478,PG,659
8227982295,UG,317
8489445353,PG,759
9339868245,UG,416
8354896279,G,529
8173474259,UG,309
9174527473,G,620
8728777066,UG,485
8354063407,UG,328
8918120953,G,457
9875925021,G,532
8161556403,UG,312
9823766103,PG,678
9481209726,PG,673
9069909722,UG,415
8883254184,G,539
9805800687,UG,375
8146419733,PG,654
9250949567,UG,407
9110066275,UG,417
9787527093,UG,324
9569504202,PG,730
8909416281,G,488
9073963220,PG,787
8599037414,PG,837
8459065365,UG,345
9773047782,G,670
8043404063,PG,783
9596390652,UG,351
7938263186,PG,771
8814837169,PG,694
9398962943,UG,328
8492287953,PG,653
9737009175,PG,893
8393314559,PG,783
9718276680,G,564
9032229224,PG,835
7972494262,UG,433
9111415256,G,555
8370220579,UG,379
8222594372,G,651
8921787088,G,699
9064121209,UG,365
8912211613,UG,414
8897337222,G,506
9057167917,UG,436
9758921712,UG,402
8556015061,PG,827
9787617620,UG,490
8237531668,G,549
9106415207,PG,785
9423174914,PG,762
8377817039,UG,343
9504917180,UG,313
8947673014,G,553
9092523683,UG,354
8263027426,G,488
8379988189,UG,434
7917057747,G,560
9078993202,PG,894
7929748831,UG,487
8059354442,G,602
8354269268,G,567
8545159042,UG,439
8833643939,G,599
7941414897,G,474
7949092576,UG,462
8655942048,PG,654
7926134002,G,613
7974688386,UG,446
9800929344,G,634
8908620149,G,529
8434405540,G,560
9730467318,PG,670
8802532585,PG,747
9675941619,G,552
8568809189,PG,763
9110360314,G,621
8390567346,UG,387
9119267239,UG,479
8993454800,UG,365
8386762047,UG,455
9407243175,PG,896
8801905448,PG,887
9339145630,G,685
9563033638,G,530
8664608134,G,515
9438959282,UG,372
7898912701,UG,394
9435801001,PG,773
9372649144,UG,411
9097757228,PG,790
9343056542,UG,396
8851321471,G,481
8886833102,G,519
8360617831,G,650
8434943693,UG,454
9278461130,PG,671
9525797696,PG,722
9198909675,G,495
8366164058,UG,422
8891168194,PG,770
8636283198,PG,808
9763702352,UG,434
8423379040,PG,897
8347267996,PG,776
8301032440,PG,810
8660261090,UG,486
9238886170,G,647
9476634401,UG,356
9113483620,G,602
9373548422,G,625
9057475405,G,650
9709609748,UG,360
8463616011,PG,838
8210539330,UG,339
9240587315,G,681
9468889972,PG,683
9028150661,UG,306
8903840210,PG,715
9036451286,G,544
8723673238,G,548
9309091194,G,548
8031292664,PG,674
8949881341,G,628
8072570084,PG,808
9831289862,PG,751
9184582517,PG,669
8246562660,UG,400
8031466011,UG,483
8234724733,UG,333
9450587842,PG,848
9696194288,UG,439
9736277660,UG,308
8319027205,PG,780
9210460331,PG,885
7954622735,PG,795
9460823712,PG,676
9420739820,G,442
9465774996,UG,315
9394981980,G,472
8032749082,G,512
9250709486,UG,411
8007633473,G,571
9094835112,UG,373
8285150568,G,475
8307716703,UG,443
8994886710,G,518
8797049912,PG,784
8532321385,UG,495
9043930785,PG,795
8188641583,PG,770
8430546228,UG,346
9469939140,UG,368
8415364771,PG,748
9328663734,G,626
8012217253,G,675
9494382989,UG,364
7987981317,UG,343
8672147415,UG,476
9566592282,G,647
9080402786,UG,319
9347209511,G,472
8589055077,G,408
8687518242,UG,466
8219018988,PG,893
8046986394,PG,874
8146129796,UG,381
8375134197,G,640
7957464091,UG,321
8764838424,UG,322
9161600981,UG,436
9739231800,PG,814
9350473664,PG,898
7899863495,UG,374
8952589866,UG,302
9024632104,PG,653
7964106716,UG,418
8859343221,PG,699
9639970885,UG,335
9786279106,UG,419
9389272803,UG,319
9885913749,G,479
9063218088,PG,651
8050748808,PG,714
9238476068,UG,451
8579213845,UG,468
9160880214,G,404
9536316122,PG,777
9079238351,PG,779
8661074920,PG,839
9821086101,UG,465
8037448349,G,429
9022097807,UG,372
9119812125,UG,346
8937589278,PG,662
7981895461,G,625
8166238508,G,468
9393969926,PG,717
9446259314,G,470
8634506982,UG,467
9095759057,PG,746
8335393702,UG,443
9277358725,PG,709
9248140408,UG,476
8737720780,UG,376
7991655161,PG,821
9079571760,G,645
9098262149,G,430
9556219624,UG,408
9343607824,G,604
8837484113,UG,481
9258455283,PG,874
8052089597,UG,364
7950868756,G,606
8839410692,PG,892
9227681350,PG,827
8914652108,UG,490
8288631403,UG,370
8590061267,PG,769
8920770023,G,515
8882397476,PG,789
9504573919,PG,845
9763053328,PG,731
8511458420,PG,757
9014841255,PG,703
8887665445,PG,733
8732071688,PG,758
8228296795,UG,377
7926677742,PG,822
9752355297,G,650
8880129592,G,474
8892662261,PG,838
8007543570,G,487
8557861618,UG,450
9302284444,PG,692
8181634910,G,686
9001715680,G,695
8694879148,PG,689
8955298854,G,688
8888342905,PG,684
8045373102,UG,336
9458557787,G,689
9466130791,PG,677
9468252399,PG,769
8281101058,PG,723
9543777920,G,537
7928064263,UG,462
9380518937,PG,675
8705324464,UG,495
9066754643,UG,366
9217622068,UG,482
8484405865,G,679
9329857695,UG,496
8490464618,PG,773
8165930817,UG,311
9600733104,UG,353
9279798534,UG,343
8217803290,PG,766
9783564102,G,509
8648594946,UG,468
9852310165,G,670
8607188263,PG,702
7923392307,PG,847
8580888615,PG,700
9774863321,UG,408
9682659608,G,571
8615258122,PG,765
7967746419,UG,343
7919437188,PG,850
8959409274,UG,460
8408651381,PG,835
9784684169,UG,485
7930791608,G,415
8135455065,G,474
9786723752,UG,321
9188170831,G,549
9858558455,UG,453
8055395191,UG,353
9006817331,G,436
8310958553,PG,889
8820496119,G,493
7943687980,UG,486
8778322701,PG,690
9418519654,G,666
9693677798,G,457
7995457336,UG,305
9300422946,PG,708
9195348098,G,542
9158066389,G,525
9711649757,G,596
8354348862,PG,888
8935023516,PG,777
8767528728,PG,788
8356610576,PG,766
8727021083,G,450
9878425008,UG,391
8257025030,UG,475
9320525660,PG,879
8337107405,G,605
9416848990,UG,475
