Mobile Number,Braodband Bills,Paid on Time,Score
9119267239,1197,Yes,557
8993454800,3383,Yes,861
8386762047,3300,No,676
9407243175,1503,No,461
8801905448,2371,No,524
9339145630,3042,Yes,863
9563033638,2222,Yes,798
8664608134,1489,No,309
9438959282,1493,No,359
7898912701,1432,No,354
9435801001,2302,Yes,818
9372649144,1700,No,470
9097757228,771,Yes,505
9343056542,1168,Yes,514
8851321471,1273,No,366
8886833102,2175,No,445
8360617831,2917,Yes,784
8434943693,942,No,330
9278461130,1827,No,441
9525797696,2324,Yes,844
9198909675,1025,Yes,586
8366164058,2170,No,418
8891168194,2105,Yes,738
8636283198,2720,Yes,842
9763702352,1425,Yes,564
8423379040,3408,Yes,889
8347267996,1835,No,463
8301032440,2299,No,546
8660261090,3373,Yes,859
9238886170,2434,Yes,819
9476634401,2914,Yes,822
9113483620,1512,No,490
9373548422,2377,No,592
9057475405,1204,Yes,549
9709609748,2503,No,599
8463616011,3139,No,689
8210539330,3348,No,646
9240587315,759,No,371
9468889972,2820,Yes,751
9028150661,1066,No,385
8903840210,3401,No,655
9036451286,2202,No,521
8723673238,2325,No,590
9309091194,3401,Yes,850
8031292664,2802,No,506
8949881341,2501,Yes,797
8072570084,3261,No,622
9831289862,814,Yes,572
9184582517,1414,No,302
8246562660,1245,Yes,530
8031466011,2505,Yes,850
8234724733,2479,No,565
9450587842,1098,Yes,500
9696194288,2472,Yes,763
9736277660,2753,Yes,836
8319027205,2717,Yes,843
9210460331,3037,No,638
7954622735,2226,No,556
9460823712,1769,Yes,674
9420739820,998,No,379
9465774996,3403,Yes,864
9394981980,888,Yes,500
8032749082,1868,No,418
9250709486,3093,No,605
8007633473,3395,No,626
9094835112,2816,No,529
8285150568,2146,Yes,748
8307716703,769,No,311
8994886710,831,No,384
8797049912,2073,Yes,711
8532321385,2909,No,544
9043930785,1847,No,487
8188641583,2813,No,517
8430546228,2980,No,533
9469939140,1272,Yes,545
8415364771,2601,No,554
9328663734,3134,Yes,890
8012217253,2898,Yes,800
9494382989,2911,Yes,797
7987981317,871,No,377
8672147415,3204,No,658
9566592282,2172,Yes,710
9080402786,3248,Yes,850
9347209511,1190,No,367
8589055077,3222,Yes,884
8687518242,2589,Yes,760
8219018988,2079,No,405
8046986394,2451,Yes,752
8146129796,3174,Yes,883
8375134197,1219,No,301
7957464091,3424,Yes,858
8764838424,2702,Yes,816
9161600981,3002,Yes,891
9739231800,2107,No,480
9350473664,1266,Yes,589
7899863495,2247,Yes,827
8952589866,2446,Yes,810
9024632104,3066,No,628
7964106716,2321,Yes,756
8859343221,1308,Yes,549
9639970885,1490,Yes,593
9786279106,1835,No,484
9389272803,2863,Yes,841
9885913749,2864,Yes,768
9063218088,1112,No,376
8050748808,1811,No,488
9238476068,2111,No,428
8579213845,2928,No,521
9160880214,2959,Yes,775
9536316122,3364,No,616
9079238351,1299,No,366
8661074920,2552,Yes,802
9821086101,2289,No,521
8037448349,1489,No,311
9022097807,3031,Yes,855
9119812125,801,No,356
8937589278,2326,No,549
7981895461,2227,No,509
8166238508,1566,No,406
9393969926,3013,No,664
9446259314,974,No,365
8634506982,1914,No,405
9095759057,2588,No,523
8335393702,1821,Yes,703
9277358725,715,No,318
9248140408,2683,No,564
8737720780,2133,Yes,671
7991655161,2346,No,567
9079571760,2759,Yes,774
9098262149,3177,No,660
9556219624,1240,Yes,515
9343607824,3208,Yes,856
8837484113,1937,No,447
9258455283,1787,Yes,682
8052089597,3163,Yes,898
7950868756,798,Yes,591
8839410692,1035,No,340
9227681350,1568,Yes,734
8914652108,2009,Yes,704
8288631403,1193,No,302
8590061267,916,No,388
8920770023,1047,Yes,518
8882397476,997,No,372
9504573919,2645,No,503
9763053328,1027,No,366
8511458420,2850,Yes,816
9014841255,733,Yes,525
8887665445,1023,No,394
8732071688,1578,Yes,730
8228296795,2836,No,544
7926677742,2929,Yes,819
9752355297,1018,No,383
8880129592,837,No,336
8892662261,3368,No,670
8007543570,1008,Yes,573
8557861618,1044,No,303
9302284444,1870,No,475
8181634910,3107,Yes,887
9001715680,1516,Yes,652
8694879148,912,No,346
8955298854,1284,No,361
8888342905,1019,No,324
8045373102,818,No,353
9458557787,1227,Yes,591
9466130791,1897,No,417
9468252399,3095,Yes,891
8281101058,2028,No,466
9543777920,3318,No,615
7928064263,1903,No,403
9380518937,2432,No,571
8705324464,1268,No,394
9066754643,904,Yes,572
9217622068,3481,Yes,851
8484405865,2082,Yes,687
9329857695,2538,Yes,762
8490464618,3170,Yes,871
8165930817,1727,No,458
9600733104,3260,Yes,892
9279798534,1442,No,364
8217803290,2700,No,592
9783564102,1426,No,381
8648594946,1919,Yes,701
9852310165,1832,Yes,652
8607188263,2796,No,579
7923392307,1055,Yes,581
8580888615,1550,Yes,748
9774863321,1406,Yes,514
9682659608,1747,No,494
8615258122,2312,Yes,799
7967746419,1913,Yes,675
7919437188,2429,No,599
8959409274,2020,No,431
8408651381,3318,Yes,862
9784684169,3106,No,681
7930791608,3050,No,633
8135455065,2138,Yes,730
9786723752,1861,No,457
9188170831,3349,Yes,863
9858558455,1384,No,343
8055395191,3405,Yes,873
9006817331,2681,Yes,807
8310958553,3232,No,660
8820496119,3159,No,676
7943687980,2837,No,539
8778322701,3403,No,654
9418519654,2996,Yes,775
9693677798,2821,No,528
7995457336,1487,No,379
9300422946,2698,No,547
9195348098,1146,No,310
9158066389,3014,No,647
9711649757,2213,No,586
8354348862,794,Yes,514
8935023516,1990,Yes,653
8767528728,1739,No,487
8356610576,2019,No,472
8727021083,829,Yes,551
9878425008,3422,No,659
8257025030,2450,No,553
9320525660,3169,Yes,853
8337107405,2132,No,409
9416848990,2672,No,599
